,Quarter end,Shares,Shares split adjusted,Split factor,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Non-controlling interest,Preferred equity,Goodwill & intangibles,Long-term debt,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Dividend per share,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Capital expenditures,Price,Price high,Price low,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Dividend payout ratio,Long-term debt to equity ratio,Equity to assets ratio,Net margin,Asset turnover,Free cash flow per share,Current ratio,ticker
31,2000-09-30,539280106,808920159,1.5,190780150000,None,181450912000,None,9329238000,0,0,1108616000,0,1544907000,452493000,452493000,0.86,0.86,0.29,-1559147000,-2751122000,3718205000,-592064000,2218333000,66239000,23.59,27.04,20.13,0.2079,0.0099,11.53,2.23,10.53,2.63,0.3241,0,0.0489,0.3024,0.03,-2.01,None,WAMU
32,2000-06-30,538875903,808313854,1.5,185687190000,None,177135425000,None,8551765000,0,0,1134406000,0,1592134000,490762000,490762000,0.92,0.92,0.28,-615446000,4291266000,-3683438000,-7618000,2810397000,72963000,19.09,21.75,16.42,0.2123,0.0101,10.58,1.8,8.89,2.44,0.3147,0,0.0461,0.3081,0.03,-0.85,None,WAMU
33,2000-03-31,547759847,821639770,1.5,188605218000,None,179899645000,None,8705573000,0,0,1165221000,0,1507774000,458492000,458492000,0.83,0.83,0.27,91433000,-2194632000,1881047000,-222152000,2818015000,40642000,16.27,18,14.54,0.2051,0.01,10.6,1.51,7.75,2.25,0.3147,0,0.0462,0.3058,0.03,0.06,None,WAMU
34,1999-12-31,558327194,837490791,1.5,186513630000,None,177460951000,None,9052679000,0,0,1199854000,0,1479437000,450292000,450292000,0.79,0.78,0.26,1256302000,-4901652000,4218408000,573058000,3040167000,78428000,20.36,23.96,16.75,0.1984,0.0101,10.81,1.98,10.05,2.07,0.3111,0,0.0485,0.3048,0.03,1.41,None,WAMU
35,1999-09-30,577304190,865956285,1.5,180799904000,None,171893924000,None,8905980000,0,0,936433000,0,1489185000,469980000,469980000,0.83,0.83,0.25,1376995000,-6572546000,5955706000,760155000,2467109000,33581000,21.52,24.42,18.63,0.2221,0.0119,10.28,2.06,10.98,1.9,0.2687,0,0.0493,0.2751,0.04,1.55,None,WAMU
36,1999-06-30,579107856,868661784,1.5,175041414000,None,165979852000,None,9061562000,0,0,960091000,0,1512826000,452674000,452674000,0.78,0.78,0.24,59872000,-5195806000,4934968000,-200966000,1706954000,136760000,25.52,27.96,23.09,0.2191,0.012,10.43,2.37,13.43,1.73,0.2857,0,0.0518,0.2675,0.04,-0.09,None,WAMU
37,1999-03-31,594850100,892275150,1.5,174295052000,None,164685526000,None,9609526000,0,0,980233000,0,1479339000,444118000,444118000,0.76,0.76,0.23,2576398000,-11099104000,7673652000,-849054000,1907920000,70029000,27.9,30.17,25.63,0.2185,0.0121,10.77,2.66,15.11,1.57,0.2817,0,0.0551,0.2599,0.05,2.81,None,WAMU
38,1998-12-31,593989545,890984317,1.5,165493281000,None,156148881000,None,9344400000,0,0,1009666000,0,2970055000,694893000,682894000,0.71,0.67,0.22,3499321000,-2804456000,-451157000,243708000,2756974000,115766000,23.25,27.5,19,0.2244,0.0124,10.49,3.57,13.38,1.42,0.2758,0,0.0565,0.2529,0.05,3.8,None,WAMU
39,1998-09-30,593252788,889879182,1.5,108359066000,None,102558079000,None,5800987000,0,0,0,0,962827000,274297000,273028000,0.73,0.73,0.207,3546011000,-5712558000,2481213000,314666000,1354159000,71818000,25.73,30.71,20.75,0.208,0.0113,6.52,2.65,25.34,1.27,0.3009,0,0.0535,0.2477,0.05,3.9,None,WAMU
40,1998-06-30,387234619,580851928,1.5,103396952000,None,97761300000,None,5635652000,0,0,0,0,976289000,261271000,260335000,0.69,0.69,0.2,503475000,-2628020000,2099831000,-24714000,1039493000,83635000,30.62,33.95,27.29,0.1377,0.0077,9.7,3.27,31.17,1.13,0.393,0,0.0545,0.1676,0.04,0.72,None,WAMU
41,1998-03-31,258060967,580637175,2.25,103123908000,None,97686909000,None,5436999000,0,0,0,0,906702000,256471000,254733000,1.02,1.02,0.2895,-633790000,-4056659000,4193766000,-496683000,1064207000,48956000,28.9,33.3,24.5,0.1295,0.0072,9.36,3.16,30.67,1.0,0.413,0,0.0527,0.1554,0.05,-1.18,None,WAMU
42,1997-12-31,257781511,580008399,2.25,96981099000,None,91672028000,None,5309071000,0,0,0,0,1810133000,375895000,365402000,0.77,0.76,0.28,245000000,-3327452000,3292978000,210526000,1560890000,46699000,29.48,32.17,26.8,0.1178,0.0067,9.15,3.2,78.96,0.87,0.4478,0,0.0547,0.1366,0.05,0.34,None,WAMU
43,1997-09-30,257331238,578995285,2.25,95607369000,None,90270305000,None,5337064000,0,0,0,0,766764000,-126954000,-132883000,-0.53,-0.53,0.27,-243052000,-2339549000,2482776000,-99825000,1240554000,35278000,28.7,31.22,26.17,0.0137,0.001,9.22,3.2,34.72,0.75,3.7712,0,0.0558,0.0184,0.04,-0.48,None,WAMU
44,1997-06-30,126471072,284559912,2.25,48763153000,None,46206843000,None,2556310000,0,0,0,0,400634000,118765000,116260000,0.96,0.96,0.26,12796000,-2473468000,2543926000,83254000,615897000,27484000,24.02,27.86,20.17,0.0936,None,8.98,2.81,32.56,0.63,0.5255,0,0.0524,0.1164,0.05,-0.05,None,WAMU
45,1997-03-31,126361456,284313276,2.25,46051150000,None,43623153000,None,2427997000,0,0,130698000,0,392342000,114072000,111567000,0.93,0.93,0.25,171102000,-1788794000,1319272000,-298420000,532643000,21961000,22.59,26.17,19,0.0749,None,8.54,2.68,34.58,0.51,0.619,0,0.0527,0.0933,0.05,0.52,None,WAMU
46,1996-12-31,126272191,284112429,2.25,44551925000,None,42154037000,None,2397888000,0,0,133509000,0,805534000,-46784000,-51388000,-0.52,-0.52,0.24,267684000,-2806969000,2522026000,-17259000,831063000,47693000,18.3,20.39,16.22,None,None,8.44,1.78,None,0.4,0.8132,0,0.0538,None,None,0.77,None,WAMU
47,1996-09-30,72268186,162603418,2.25,22413697000,None,20739101000,None,1674596000,0,0,140300000,0,222171000,40174000,35569000,0.49,0.49,0.23,21016000,125340000,12554000,158910000,462761000,19244000,15.05,17.44,12.67,None,None,10.3,1.48,None,0.29,None,0,0.0747,None,None,0.01,None,WAMU
48,1996-06-30,72200356,162450801,2.25,22323472000,None,20676399000,None,1647073000,0,0,147251000,0,214896000,61359000,56754000,0.79,0.76,0.22,99669000,-101034000,15185000,13820000,303851000,9790000,12.55,13.5,11.61,None,None,10.14,1.23,None,0.19,None,0,0.0738,None,None,0.55,None,WAMU
49,1996-03-31,72120915,162272058,2.25,22344769000,None,20694890000,None,1649879000,0,0,154212000,0,207670000,59529000,54924000,0.76,0.74,0.21,108221000,-367980000,-48482000,-308241000,290031000,6194000,13.3,14.33,12.28,None,None,10.17,None,None,0.093333,None,0,0.0738,None,None,0.63,None,WAMU
