,Quarter end,Shares,Shares split adjusted,Split factor,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Non-controlling interest,Preferred equity,Goodwill & intangibles,Long-term debt,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Dividend per share,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Capital expenditures,Price,Price high,Price low,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Dividend payout ratio,Long-term debt to equity ratio,Equity to assets ratio,Net margin,Asset turnover,Free cash flow per share,Current ratio,ticker
47,2007-07-01,232896353,232896353,1,16141918000,1584626000,7306078000,1066680000,8813921000,21919000,0,10836608000,4557564000,1928225000,365662000,365662000,1.56,1.56,0.31,262477000,812518000,-1077431000,-1098000,118323000,31208000,56.95,59.79,54.12,0.1399,0.0725,37.84,1.57,11.84,11.97,0.2438,0.5171,0.546,0.1504,0.48,0.99,1.4856,TGNA
48,2007-04-01,234668602,234668602,1,16658682000,1992999000,8123423000,945451000,8512636000,22623000,0,10912788000,5482475000,1871195000,210611000,210611000,0.9,0.9,0.31,386406000,-559981000,198394000,25165000,119421000,28766000,59.44,63.11,55.76,0.1363,0.0695,36.28,1.66,12.13,11.66,0.2524,0.644,0.511,0.1416,0.49,1.52,2.108,TGNA
49,2006-12-31,234824796,234824796,1,16223804000,1532019000,7817230000,1116948000,8382263000,24311000,0,10897008000,5210021000,2208349000,353543000,353543000,1.5,1.49,0.31,385696000,-47011000,-373833000,-37686000,94256000,65889000,58.59,61.25,55.92,0.1425,0.0722,35.7,1.64,12.13,11.35,0.2438,0.6216,0.5167,0.1445,0.5,1.36,1.3716,TGNA
50,2006-09-24,234314846,234314846,1,16705874000,1508665000,8335053000,1126170000,8346403000,24418000,0,10807168000,5494516000,1914555000,261433000,261433000,1.11,1.11,0.31,414094000,-671869000,253813000,-1627000,131942000,44084000,54.41,57.15,51.67,0.1448,0.0721,35.62,1.59,11.01,11.04,0.2427,0.6583,0.4996,0.1469,0.49,1.58,1.3396,TGNA
51,2006-06-25,236375431,236375431,1,15808848000,1421451000,7678591000,998614000,8105592000,24665000,0,10268945000,5049215000,2027909000,310497000,310497000,1.31,1.31,0.29,346548000,-50694000,-231403000,67608000,133569000,49578000,57.07,60.92,53.22,0.1529,0.0754,34.29,1.75,11.41,10.73,0.2328,0.6229,0.5127,0.1524,0.49,1.26,1.4234,TGNA
52,2006-03-26,237816484,237816484,1,15593867000,1333380000,7809421000,1033506000,7759665000,24781000,0,10132559000,5151449000,1882541000,235309000,235309000,0.99,0.99,0.29,333527000,18269000,-354679000,-2842000,65961000,41229000,61.8,64.8,58.81,0.1587,0.0777,32.63,1.94,12.21,10.44,0.2252,0.6639,0.4976,0.1579,0.49,1.23,1.2902,TGNA
53,2005-12-25,238075544,238075544,1,15743396000,1462071000,8147658000,1096341000,7570562000,25176000,0,10131024000,5438273000,2005462000,343265000,343265000,1.45,1.42,0.29,353114000,-89882000,-249106000,14107000,68803000,101155000,63.91,68.62,59.19,0.162,0.08,31.8,2.02,12.56,10.15,0.2182,0.7183,0.4809,0.1638,0.49,1.06,1.3336,TGNA
54,2005-09-25,239890573,239890573,1,15770790000,1307150000,8072471000,1133913000,7586992000,111327000,0,10324692000,5384839000,1864903000,297009000,297009000,1.22,1.22,0.29,389685000,-350499000,-141924000,-97975000,54696000,54029000,70.53,74.8,66.25,0.1634,0.0827,31.63,2.24,13.97,9.87,0.2115,0.7097,0.4811,0.1693,0.49,1.4,1.1528,TGNA
55,2005-06-26,244018685,244018685,1,15423432000,1389484000,7648361000,923664000,7688439000,86632000,0,10172168000,5220587000,1936477000,338643000,338643000,1.37,1.37,0.27,256000000,-298027000,56573000,11143000,152671000,54675000,75.56,80.0,71.13,0.1635,0.0845,31.51,2.38,15.17,9.58,0.2088,0.679,0.4985,0.1722,0.49,0.83,1.5043,TGNA
56,2005-03-27,248374653,248374653,1,15263578000,1341893000,7288231000,1050982000,7884767000,90580000,0,10030889000,4707625000,1792097000,265737000,265737000,1.05,1.05,0.27,432942000,-72945000,-351424000,5654000,141528000,52778000,80.42,82.41,78.43,0.1612,0.086,31.75,2.48,16.31,9.31,0.2068,0.5971,0.5166,0.1758,0.49,1.53,1.2768,TGNA
57,2004-12-26,252198649,252198649,1,15399251000,1370695000,7143888000,1005450000,8164002000,91361000,0,10117137000,4607743000,1962412000,378137000,378137000,1.48,1.45,0.27,418539000,-90745000,-318711000,15508000,135874000,84709000,82.31,85.62,78.99,0.1586,0.087,32.37,2.67,17.22,9.04,0.2062,0.5644,0.5302,0.1784,0.49,1.32,1.3633,TGNA
58,2004-09-26,255250585,255250585,1,15120922000,1335705000,7146682000,1088892000,7883286000,90954000,0,9929892000,4581902000,1815884000,310209000,310209000,1.19,1.18,0.27,463881000,-85039000,-370109000,8180000,120366000,72938000,83.17,86.78,79.56,0.155,0.0867,30.88,2.59,17.96,8.77,0.2095,0.5812,0.5213,0.1791,0.48,1.53,1.2267,TGNA
59,2004-06-27,266118488,266118488,1,15090155000,1272774000,6453612000,960041000,8544309000,92234000,0,9953566000,4021235000,1873303000,354432000,354432000,1.31,1.3,0.25,311303000,-122808000,-153137000,36448000,112186000,63441000,87.97,91.0,84.95,0.1522,0.0856,32.11,2.78,19.42,8.5,0.2138,0.4706,0.5662,0.1794,0.48,0.93,1.3257,TGNA
60,2004-03-28,272491823,272491823,1,14929279000,1203996000,6207750000,1032180000,8627892000,93637000,0,9906620000,3718997000,1729684000,274408000,274408000,1.01,1,0.25,392052000,-164249000,-220105000,8550000,75738000,58702000,87.25,90.01,84.5,0.1538,0.0847,31.66,2.83,19.56,8.25,0.2175,0.431,0.5779,0.1794,0.47,1.22,1.1665,TGNA
61,2003-12-28,272876460,272876460,1,14706239000,1223261000,6190819000,961837000,8422981000,92439000,0,9819239000,3834511000,1822304000,358038000,358038000,1.32,1.3,0.25,390241000,-226926000,-255764000,-94775000,67188000,110088000,83.25,88.93,77.56,0.1588,0.0844,30.87,2.94,18.75,8.0,0.2189,0.4552,0.5727,0.1805,0.47,1.03,1.2718,TGNA
62,2003-09-28,271062311,271062311,1,14400688000,1242380000,6626648000,1023000000,7675952000,98088000,0,9556015000,4152092000,1631283000,279032000,279032000,1.03,1.03,0.25,392088000,-84242000,-279734000,29569000,161963000,70196000,77.52,79.18,75.86,0.1656,0.0851,28.32,2.82,17.62,7.75,0.2177,0.5409,0.5329999999999999,0.1824,0.47,1.19,1.2144,TGNA
63,2003-06-29,269705112,269705112,1,14292496000,1179264000,6781200000,916394000,7418361000,92935000,0,9532011000,4401738000,1705283000,324307000,324307000,1.21,1.2,0.24,294679000,-402665000,-153587000,-260654000,132394000,57033000,75.06,79.7,70.43,0.1705,0.0861,27.51,2.89,17.33,7.5,0.2172,0.5934,0.519,0.1817,0.47,0.88,1.2869,TGNA
64,2003-03-30,268604936,268604936,1,14016056000,1360329000,6942487000,975872000,6982837000,90732000,0,9089464000,4538721000,1552245000,249836000,249836000,0.93,0.93,0.24,402101000,-52572000,-48467000,302674000,393048000,43947000,71.39,75.1,67.68,0.1749,0.0865,26.0,2.77,16.56,7.26,0.2181,0.65,0.4982,0.1808,0.48,1.33,1.3940000000000001,TGNA
65,2002-12-29,268234922,268234922,1,13733014000,1133079000,6821219000,958625000,6911795000,0,0,9019913000,4547265000,1692417000,347006000,347006000,1.3,1.28,0.24,46303000,-207576000,180505000,22475000,90374000,99176000,72.91,79.2,66.62,0.1811,0.0879,25.77,2.99,18.46,7.02,0.2165,0.6579,0.5033,0.1806,0.49,-0.2,1.182,TGNA
66,2002-09-29,267272115,267272115,1,13111133000,1016077000,6589807000,1152564000,6521326000,0,0,8967568000,4325868000,1580928000,265636000,265636000,0.99,0.99,0.24,290110000,-81923000,-219622000,-10810000,67899000,51087000,70.55,77.7,63.39,0.1736,0.0814,24.4,3.01,19.49,6.78,0.2338,0.6633,0.4974,0.1671,0.49,0.89,0.8816,TGNA
